PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
201988,Patty Mills,2020-21,68,24.8,10.8,2.4,1.7,0.6,0.0,1.0,0.412,0.375,0.91,0.4,11.4,2021-22
201988,Patty Mills,2021-22,81,29.0,11.4,2.3,1.9,0.6,0.2,0.9,0.408,0.4,0.814,1.4,6.2,2022-23
201988,Patty Mills,2022-23,40,14.2,6.2,1.4,1.1,0.4,0.1,0.8,0.411,0.366,0.833,-1.7,4.0,2023-24
202066,Garrett Temple,2019-20,62,27.9,10.3,2.5,3.5,0.8,0.5,1.0,0.378,0.329,0.805,-0.7,7.6,2020-21
202066,Garrett Temple,2020-21,56,27.3,7.6,2.2,2.9,0.8,0.5,1.0,0.415,0.335,0.8,0.9,5.2,2021-22
202066,Garrett Temple,2021-22,59,18.6,5.2,1.3,2.4,0.7,0.4,0.7,0.376,0.319,0.683,-5.5,2.0,2022-23
202066,Garrett Temple,2022-23,25,6.5,2.0,0.5,0.7,0.4,0.1,0.2,0.4,0.423,0.75,-0.7,3.3,2023-24
202083,Wesley Matthews,2019-20,67,24.4,7.4,1.4,2.5,0.6,0.1,0.6,0.396,0.364,0.765,6.8,4.8,2020-21
202083,Wesley Matthews,2020-21,58,19.5,4.8,0.9,1.6,0.7,0.3,0.4,0.353,0.335,0.854,0.7,5.1,2021-22
202083,Wesley Matthews,2021-22,49,20.5,5.1,0.7,1.9,0.5,0.2,0.4,0.395,0.338,0.786,2.8,3.4,2022-23
202083,Wesley Matthews,2022-23,52,15.8,3.4,0.7,2.2,0.4,0.3,0.3,0.363,0.315,0.857,1.0,3.1,2023-24
202322,John Wall,2020-21,40,32.2,20.6,6.9,3.2,1.1,0.8,3.5,0.404,0.317,0.749,-4.2,11.4,2022-23
202324,Derrick Favors,2019-20,51,24.4,9.0,1.6,9.8,0.6,0.9,1.1,0.617,0.143,0.563,2.3,5.4,2020-21
202324,Derrick Favors,2020-21,68,15.3,5.4,0.6,5.5,0.5,1.0,0.5,0.638,0.0,0.738,0.5,5.3,2021-22
202326,DeMarcus Cousins,2020-21,41,17.4,8.9,1.9,6.4,0.8,0.6,1.6,0.426,0.348,0.728,-1.5,9.0,2021-22
202329,Al-Farouq Aminu,2019-20,18,21.1,4.3,1.2,4.8,1.0,0.4,0.9,0.291,0.25,0.655,-1.9,4.4,2020-21
202330,Gordon Hayward,2019-20,52,33.5,17.5,4.1,6.7,0.7,0.4,1.8,0.5,0.383,0.855,6.4,19.6,2020-21
202330,Gordon Hayward,2020-21,44,34.0,19.6,4.1,5.9,1.2,0.3,2.1,0.473,0.415,0.843,0.4,15.9,2021-22
202330,Gordon Hayward,2021-22,49,31.9,15.9,3.6,4.6,1.0,0.4,1.7,0.459,0.391,0.846,-0.4,14.7,2022-23
202330,Gordon Hayward,2022-23,50,31.5,14.7,4.1,4.3,0.8,0.2,2.0,0.475,0.325,0.811,-2.2,9.8,2023-24
202331,Paul George,2019-20,48,29.6,21.5,3.9,5.7,1.4,0.4,2.6,0.439,0.412,0.876,5.4,23.3,2020-21
202331,Paul George,2020-21,54,33.7,23.3,5.2,6.6,1.1,0.4,3.3,0.467,0.411,0.868,8.0,24.3,2021-22
202331,Paul George,2021-22,31,34.8,24.3,5.7,6.9,2.2,0.4,4.1,0.421,0.354,0.858,3.0,23.8,2022-23
202331,Paul George,2022-23,56,34.6,23.8,5.1,6.1,1.5,0.4,3.1,0.457,0.371,0.871,2.8,22.6,2023-24
202334,Ed Davis,2019-20,28,10.8,1.8,0.4,3.8,0.4,0.3,0.5,0.478,0.0,0.5,-3.9,2.1,2020-21
202334,Ed Davis,2020-21,23,13.0,2.1,0.9,5.0,0.6,0.6,0.3,0.432,0.0,0.833,-2.0,0.9,2021-22
202335,Patrick Patterson,2019-20,59,13.2,4.9,0.7,2.6,0.1,0.1,0.4,0.408,0.39,0.814,0.8,5.2,2020-21
202339,Eric Bledsoe,2019-20,61,27.0,14.9,5.4,4.6,0.9,0.4,2.4,0.475,0.344,0.79,7.1,12.2,2020-21
202339,Eric Bledsoe,2020-21,71,29.7,12.2,3.8,3.4,0.8,0.3,1.6,0.421,0.341,0.687,-0.9,9.9,2021-22
